Dataset 3,,,,,Dataset 2,,,,,Dataset 1,,,
1author,LiTFSIwt,temp C,exponent,,1author2,LiTFSIwt2,temp C2,exponent2,,1author3,LiTFSIwt3,temp C3,exponent3
S. Das,37.41391107,30,-4.2,,S. Das,37.41391107,30,-4.2,,S. Das,37.41391107,30,-4.2
S. Das,37.41391107,25.5,-4.4,,S. Das,37.41391107,25.5,-4.4,,S. Das,37.41391107,25.5,-4.4
S. Das,37.41391107,21.1,-4.7,,S. Das,37.41391107,21.1,-4.7,,S. Das,37.41391107,21.1,-4.7
S. Das,37.41391107,14.4,-5,,S. Das,37.41391107,14.4,-5,,S. Das,37.41391107,14.4,-5
S. Das,37.41391107,11.1,-5.2,,S. Das,37.41391107,11.1,-5.2,,S. Das,37.41391107,11.1,-5.2
S. Das,37.41391107,4.78,-5.5,,S. Das,37.41391107,4.78,-5.5,,S. Das,37.41391107,4.78,-5.5
S. Das,37.41391107,0.224,-5.8,,S. Das,37.41391107,0.224,-5.8,,S. Das,37.41391107,0.224,-5.8
S. Das,37.41391107,-5.12,-6,,S. Das,37.41391107,-5.12,-6,,S. Das,37.41391107,-5.12,-6
S. Das,37.41391107,-9.84,-6.3,,S. Das,37.41391107,-9.84,-6.3,,S. Das,37.41391107,-9.84,-6.3
S. Das,37.41391107,-15.3,-6.6,,S. Das,37.41391107,-15.3,-6.6,,S. Das,37.41391107,-15.3,-6.6
S. Das,37.41391107,-19.8,-7.1,,S. Das,37.41391107,-19.8,-7.1,,S. Das,37.41391107,-19.8,-7.1
S. Das,37.41391107,-24.9,-7.5,,S. Das,37.41391107,-24.9,-7.5,,S. Das,37.41391107,-24.9,-7.5
S. Das,37.41391107,-29.1,-7.8,,S. Das,37.41391107,-29.1,-7.8,,S. Das,37.41391107,-29.1,-7.8
S. Das,37.41391107,-34.9,-8.3,,S. Das,37.41391107,-34.9,-8.3,,S. Das,37.41391107,-34.9,-8.3
Heng Zhang,26.39992997,100,-2.7,,Heng Zhang,26.39992997,100,-2.7,,Heng Zhang,26.39992997,100,-2.7
Heng Zhang,26.39992997,90,-2.9,,Heng Zhang,26.39992997,90,-2.9,,Heng Zhang,26.39992997,90,-2.9
Heng Zhang,26.39992997,80,-3,,Heng Zhang,26.39992997,80,-3,,Heng Zhang,26.39992997,80,-3
Heng Zhang,26.39992997,70,-3.2,,Heng Zhang,26.39992997,70,-3.2,,Heng Zhang,26.39992997,70,-3.2
Heng Zhang,26.39992997,60,-3.4,,Heng Zhang,26.39992997,60,-3.4,,Heng Zhang,26.39992997,60,-3.4
Heng Zhang,26.39992997,50,-3.9,,Heng Zhang,26.39992997,50,-3.9,,Heng Zhang,26.39992997,50,-3.9
Heng Zhang,26.39992997,40,-4.5,,Heng Zhang,26.39992997,40,-4.5,,Heng Zhang,26.39992997,40,-4.5
Heng Zhang,26.39992997,30,-5,,Heng Zhang,26.39992997,30,-5,,Heng Zhang,26.39992997,30,-5
M. Marzantowicz,54.45535616,85,-3.6,,M. Marzantowicz,54.45535616,85,-3.6,,M. Marzantowicz,12.54748897,82,-3.5
M. Marzantowicz,54.45535616,80,-3.7,,M. Marzantowicz,54.45535616,80,-3.7,,M. Marzantowicz,12.54748897,77,-3.6
M. Marzantowicz,54.45535616,75,-3.9,,M. Marzantowicz,54.45535616,75,-3.9,,M. Marzantowicz,12.54748897,74,-3.7
M. Marzantowicz,54.45535616,70,-4,,M. Marzantowicz,54.45535616,70,-4,,M. Marzantowicz,12.54748897,67,-3.9
M. Marzantowicz,54.45535616,65,-4.1,,M. Marzantowicz,54.45535616,65,-4.1,,M. Marzantowicz,12.54748897,63,-4.1
M. Marzantowicz,54.45535616,60,-4.3,,M. Marzantowicz,54.45535616,60,-4.3,,M. Marzantowicz,12.54748897,63,-4.3
M. Marzantowicz,54.45535616,55,-5.2,,M. Marzantowicz,54.45535616,55,-5.2,,M. Marzantowicz,12.54748897,58,-5
M. Marzantowicz,54.45535616,50,-6.4,,M. Marzantowicz,54.45535616,50,-6.4,,M. Marzantowicz,12.54748897,54,-5.5
M. Marzantowicz,54.45535616,45,-7.1,,M. Marzantowicz,54.45535616,45,-7.1,,M. Marzantowicz,12.54748897,48,-5.9
M. Marzantowicz,54.45535616,30,-8.7,,M. Marzantowicz,54.45535616,30,-8.7,,M. Marzantowicz,12.54748897,44,-6.2
M. Marzantowicz,54.45535616,25,-9.1,,M. Marzantowicz,54.45535616,25,-9.1,,M. Marzantowicz,12.54748897,39,-6.5
M. Marzantowicz,54.45535616,25,-9.4,,M. Marzantowicz,54.45535616,25,-9.4,,M. Marzantowicz,12.54748897,39,-7
M. Marzantowicz,54.45535616,20,-9.5,,M. Marzantowicz,54.45535616,20,-9.5,,M. Marzantowicz,12.54748897,35,-7.3
M. Marzantowicz,12.54748897,82,-3.5,,M. Marzantowicz,12.54748897,82,-3.5,,M. Marzantowicz,12.54748897,35,-7.4
M. Marzantowicz,12.54748897,77,-3.6,,M. Marzantowicz,12.54748897,77,-3.6,,M. Marzantowicz,12.54748897,29,-7.4
M. Marzantowicz,12.54748897,74,-3.7,,M. Marzantowicz,12.54748897,74,-3.7,,M. Marzantowicz,12.54748897,29,-7.6
M. Marzantowicz,12.54748897,67,-3.9,,M. Marzantowicz,12.54748897,67,-3.9,,M. Marzantowicz,12.54748897,25,-7.7
M. Marzantowicz,12.54748897,63,-4.1,,M. Marzantowicz,12.54748897,63,-4.1,,M. Marzantowicz,12.54748897,20,-8
M. Marzantowicz,12.54748897,63,-4.3,,M. Marzantowicz,12.54748897,63,-4.3,,Yue Lin,40,100.13,-3.33
M. Marzantowicz,12.54748897,58,-5,,M. Marzantowicz,12.54748897,58,-5,,Yue Lin,40,89.32,-3.42
M. Marzantowicz,12.54748897,54,-5.5,,M. Marzantowicz,12.54748897,54,-5.5,,Yue Lin,40,79.11,-3.6
M. Marzantowicz,12.54748897,48,-5.9,,M. Marzantowicz,12.54748897,48,-5.9,,Yue Lin,40,71.83,-3.66
M. Marzantowicz,12.54748897,44,-6.2,,M. Marzantowicz,12.54748897,44,-6.2,,Yue Lin,40,61.45,-3.9
M. Marzantowicz,12.54748897,39,-6.5,,M. Marzantowicz,12.54748897,39,-6.5,,Yue Lin,40,54.87,-4.11
M. Marzantowicz,12.54748897,39,-7,,M. Marzantowicz,12.54748897,39,-7,,Yue Lin,40,51.68,-4.2
M. Marzantowicz,12.54748897,35,-7.3,,M. Marzantowicz,12.54748897,35,-7.3,,Yue Lin,40,39.5,-4.71
M. Marzantowicz,12.54748897,35,-7.4,,M. Marzantowicz,12.54748897,35,-7.4,,Yue Lin,40,32.81,-5.07
M. Marzantowicz,12.54748897,29,-7.4,,M. Marzantowicz,12.54748897,29,-7.4,,Yue Lin,40,25.51,-5.37
M. Marzantowicz,12.54748897,29,-7.6,,M. Marzantowicz,12.54748897,29,-7.6,,Jiayu Wan,41.77069086,30,-4.26760624
M. Marzantowicz,12.54748897,25,-7.7,,M. Marzantowicz,12.54748897,25,-7.7,,Jiayu Wan,41.77069086,100,-3.1
M. Marzantowicz,12.54748897,20,-8,,M. Marzantowicz,12.54748897,20,-8,,Jiayu Wan,41.77069086,92,-3.2
Yue Lin,40,100.13,-3.33,,Yue Lin,40,100.13,-3.33,,Jiayu Wan,41.77069086,79.1,-3.3
Yue Lin,40,89.32,-3.42,,Yue Lin,40,89.32,-3.42,,Jiayu Wan,41.77069086,69.5,-3.4
Yue Lin,40,79.11,-3.6,,Yue Lin,40,79.11,-3.6,,Jiayu Wan,41.77069086,60.3,-3.5
Yue Lin,40,71.83,-3.66,,Yue Lin,40,71.83,-3.66,,Jiayu Wan,41.77069086,51.7,-3.7
Yue Lin,40,61.45,-3.9,,Yue Lin,40,61.45,-3.9,,Jiayu Wan,41.77069086,39.5,-3.9
Yue Lin,40,54.87,-4.11,,Yue Lin,40,54.87,-4.11,,Jiayu Wan,41.77069086,30,-4.3
Yue Lin,40,51.68,-4.2,,Yue Lin,40,51.68,-4.2,,Jiayu Wan,41.77069086,24.6,-4.5
Yue Lin,40,39.5,-4.71,,Yue Lin,40,39.5,-4.71,,Jiayu Wan,41.77069086,21.1,-4.7
Yue Lin,40,32.81,-5.07,,Yue Lin,40,32.81,-5.07,,Jiayu Wan,41.77069086,9.49,-5.1
Yue Lin,40,25.51,-5.37,,Yue Lin,40,25.51,-5.37,,Jiayu Wan,41.77069086,0.224,-5.7
Jiayu Wan,41.77069086,30,-4.26760624,,Jiayu Wan,41.77069086,30,-4.26760624,,Jiayu Wan,41.77069086,-9.84,-6.6
Jiayu Wan,41.77069086,100,-3.1,,Jiayu Wan,41.77069086,100,-3.1,,Jiayu Wan,41.77069086,-20.5,-7.7
Jiayu Wan,41.77069086,92,-3.2,,Jiayu Wan,41.77069086,92,-3.2,,Yuewu Zhu,30.26499303,100,-3.05
Jiayu Wan,41.77069086,79.1,-3.3,,Jiayu Wan,41.77069086,79.1,-3.3,,Yuewu Zhu,30.26499303,90.6,-3.125
Jiayu Wan,41.77069086,69.5,-3.4,,Jiayu Wan,41.77069086,69.5,-3.4,,Yuewu Zhu,30.26499303,80.4,-3.25
Jiayu Wan,41.77069086,60.3,-3.5,,Jiayu Wan,41.77069086,60.3,-3.5,,Yuewu Zhu,30.26499303,70.6,-3.4
Jiayu Wan,41.77069086,51.7,-3.7,,Jiayu Wan,41.77069086,51.7,-3.7,,Yuewu Zhu,30.26499303,60.3,-3.525
Jiayu Wan,41.77069086,39.5,-3.9,,Jiayu Wan,41.77069086,39.5,-3.9,,Yuewu Zhu,30.26499303,55.4,-3.65
Jiayu Wan,41.77069086,30,-4.3,,Jiayu Wan,41.77069086,30,-4.3,,Yuewu Zhu,30.26499303,50.1,-3.8
Jiayu Wan,41.77069086,24.6,-4.5,,Jiayu Wan,41.77069086,24.6,-4.5,,Yuewu Zhu,30.26499303,45.5,-4.05
Jiayu Wan,41.77069086,21.1,-4.7,,Jiayu Wan,41.77069086,21.1,-4.7,,Yuewu Zhu,30.26499303,40.5,-4.4
Jiayu Wan,41.77069086,9.49,-5.1,,Jiayu Wan,41.77069086,9.49,-5.1,,Yuewu Zhu,30.26499303,35.2,-4.7
Jiayu Wan,41.77069086,0.224,-5.7,,Jiayu Wan,41.77069086,0.224,-5.7,,Yuewu Zhu,30.26499303,25.5,-5.5
Jiayu Wan,41.77069086,-9.84,-6.6,,Jiayu Wan,41.77069086,-9.84,-6.6,,,,,
Jiayu Wan,41.77069086,-20.5,-7.7,,Jiayu Wan,41.77069086,-20.5,-7.7,,,,,
O. E. Geiculescu,19.29817545,121,-2.55,,O. E. Geiculescu,19.29817545,121,-2.55,,,,,
O. E. Geiculescu,19.29817545,110,-2.65,,O. E. Geiculescu,19.29817545,110,-2.65,,,,,
O. E. Geiculescu,19.29817545,102,-2.75,,O. E. Geiculescu,19.29817545,102,-2.75,,,,,
O. E. Geiculescu,19.29817545,89.3,-2.9,,O. E. Geiculescu,19.29817545,89.3,-2.9,,,,,
O. E. Geiculescu,19.29817545,80.4,-3,,O. E. Geiculescu,19.29817545,80.4,-3,,,,,
O. E. Geiculescu,19.29817545,69.5,-3.15,,O. E. Geiculescu,19.29817545,69.5,-3.15,,,,,
O. E. Geiculescu,19.29817545,59.2,-3.3,,O. E. Geiculescu,19.29817545,59.2,-3.3,,,,,
O. E. Geiculescu,19.29817545,49.6,-3.5,,O. E. Geiculescu,19.29817545,49.6,-3.5,,,,,
O. E. Geiculescu,19.29817545,40.5,-4.5,,O. E. Geiculescu,19.29817545,40.5,-4.5,,,,,
O. E. Geiculescu,19.29817545,30,-5,,O. E. Geiculescu,19.29817545,30,-5,,,,,
O. E. Geiculescu,19.29817545,21.1,-5.4,,O. E. Geiculescu,19.29817545,21.1,-5.4,,,,,
O. E. Geiculescu,41.77204232,121,-2.45,,O. E. Geiculescu,41.77204232,121,-2.45,,,,,
O. E. Geiculescu,41.77204232,109,-2.55,,O. E. Geiculescu,41.77204232,109,-2.55,,,,,
O. E. Geiculescu,41.77204232,100,-2.7,,O. E. Geiculescu,41.77204232,100,-2.7,,,,,
O. E. Geiculescu,41.77204232,90.6,-2.95,,O. E. Geiculescu,41.77204232,90.6,-2.95,,,,,
O. E. Geiculescu,41.77204232,80.4,-3.2,,O. E. Geiculescu,41.77204232,80.4,-3.2,,,,,
O. E. Geiculescu,41.77204232,69.5,-3.35,,O. E. Geiculescu,41.77204232,69.5,-3.35,,,,,
O. E. Geiculescu,41.77204232,59.2,-3.5,,O. E. Geiculescu,41.77204232,59.2,-3.5,,,,,
O. E. Geiculescu,41.77204232,49.6,-3.7,,O. E. Geiculescu,41.77204232,49.6,-3.7,,,,,
O. E. Geiculescu,41.77204232,39.5,-3.9,,O. E. Geiculescu,41.77204232,39.5,-3.9,,,,,
O. E. Geiculescu,41.77204232,31,-4.25,,O. E. Geiculescu,41.77204232,31,-4.25,,,,,
O. E. Geiculescu,41.77204232,19.4,-4.75,,O. E. Geiculescu,41.77204232,19.4,-4.75,,,,,
Yuewu Zhu,30.26499303,100,-3.05,,Yuewu Zhu,30.26499303,100,-3.05,,,,,
Yuewu Zhu,30.26499303,90.6,-3.125,,Yuewu Zhu,30.26499303,90.6,-3.125,,,,,
Yuewu Zhu,30.26499303,80.4,-3.25,,Yuewu Zhu,30.26499303,80.4,-3.25,,,,,
Yuewu Zhu,30.26499303,70.6,-3.4,,Yuewu Zhu,30.26499303,70.6,-3.4,,,,,
Yuewu Zhu,30.26499303,60.3,-3.525,,Yuewu Zhu,30.26499303,60.3,-3.525,,,,,
Yuewu Zhu,30.26499303,55.4,-3.65,,Yuewu Zhu,30.26499303,55.4,-3.65,,,,,
Yuewu Zhu,30.26499303,50.1,-3.8,,Yuewu Zhu,30.26499303,50.1,-3.8,,,,,
Yuewu Zhu,30.26499303,45.5,-4.05,,Yuewu Zhu,30.26499303,45.5,-4.05,,,,,
Yuewu Zhu,30.26499303,40.5,-4.4,,Yuewu Zhu,30.26499303,40.5,-4.4,,,,,
Yuewu Zhu,30.26499303,35.2,-4.7,,Yuewu Zhu,30.26499303,35.2,-4.7,,,,,
Yuewu Zhu,30.26499303,25.5,-5.5,,Yuewu Zhu,30.26499303,25.5,-5.5,,,,,
Kathy Liu,33.5,70,-3.7,,Kathy Liu,33.5,70,-3.7,,,,,
Kathy Liu,33.5,60,-3.925,,Kathy Liu,33.5,60,-3.925,,,,,
Kathy Liu,33.5,50,-4.2,,Kathy Liu,33.5,50,-4.2,,,,,
Kathy Liu,33.5,45,-4.45,,Kathy Liu,33.5,45,-4.45,,,,,
Kathy Liu,33.5,40,-4.775,,Kathy Liu,33.5,40,-4.775,,,,,
Kathy Liu,33.5,30,-5.325,,Kathy Liu,33.5,30,-5.325,,,,,
Kathy Liu,33.5,25,-5.525,,Kathy Liu,33.5,25,-5.525,,,,,
Yue Lin,32.35284258,100,-3.2,,Yue Lin,32.35284258,100,-3.2,,,,,
Yue Lin,32.35284258,80,-3.32,,Yue Lin,32.35284258,80,-3.32,,,,,
Yue Lin,32.35284258,70,-3.52,,Yue Lin,32.35284258,70,-3.52,,,,,
Yue Lin,32.35284258,60,-3.72,,Yue Lin,32.35284258,60,-3.72,,,,,
Yue Lin,32.35284258,55,-3.92,,Yue Lin,32.35284258,55,-3.92,,,,,
Yue Lin,32.35284258,50,-4.36,,Yue Lin,32.35284258,50,-4.36,,,,,
Yue Lin,32.35284258,45,-4.8,,Yue Lin,32.35284258,45,-4.8,,,,,
Yue Lin,32.35284258,40,-5.2,,Yue Lin,32.35284258,40,-5.2,,,,,
Yue Lin,32.35284258,30,-6.2,,Yue Lin,32.35284258,30,-6.2,,,,,
Kai Zhu,32.35284258,179,-2.8,,Kai Zhu,32.35284258,179,-2.8,,,,,
Kai Zhu,32.35284258,151,-2.875,,Kai Zhu,32.35284258,151,-2.875,,,,,
Kai Zhu,32.35284258,121,-3,,Kai Zhu,32.35284258,121,-3,,,,,
Kai Zhu,32.35284258,100,-3.175,,Kai Zhu,32.35284258,100,-3.175,,,,,
Kai Zhu,32.35284258,80.4,-3.325,,Kai Zhu,32.35284258,80.4,-3.325,,,,,
Kai Zhu,32.35284258,70.6,-3.525,,Kai Zhu,32.35284258,70.6,-3.525,,,,,
Kai Zhu,32.35284258,60.3,-3.75,,Kai Zhu,32.35284258,60.3,-3.75,,,,,
Kai Zhu,32.35284258,54.9,-3.925,,Kai Zhu,32.35284258,54.9,-3.925,,,,,
Kai Zhu,32.35284258,50.6,-4.3,,Kai Zhu,32.35284258,50.6,-4.3,,,,,
Kai Zhu,32.35284258,45.5,-4.8,,Kai Zhu,32.35284258,45.5,-4.8,,,,,
Kai Zhu,32.35284258,40.5,-5.225,,Kai Zhu,32.35284258,40.5,-5.225,,,,,
Qiang Ma,26.39991247,90,-2.9,,Qiang Ma,26.39991247,90,-2.9,,,,,
Qiang Ma,26.39991247,80,-3.1,,Qiang Ma,26.39991247,80,-3.1,,,,,
Qiang Ma,26.39991247,70,-3.2,,Qiang Ma,26.39991247,70,-3.2,,,,,
Qiang Ma,26.39991247,60,-3.3,,Qiang Ma,26.39991247,60,-3.3,,,,,
Qiang Ma,26.39991247,50,-3.6,,Qiang Ma,26.39991247,50,-3.6,,,,,
Qiang Ma,26.39991247,40,-4,,Qiang Ma,26.39991247,40,-4,,,,,
Qiang Ma,26.39991247,30,-4.5,,Qiang Ma,26.39991247,30,-4.5,,,,,
Qiang Ma,26.39991247,25,-4.7,,Qiang Ma,26.39991247,25,-4.7,,,,,
experiments,15,25,-7.367787836,,,,,,,,,,
experiments,15,30,-7.026785519,,,,,,,,,,
experiments,15,45,-6.584363214,,,,,,,,,,
experiments,15,65,-5.02016757,,,,,,,,,,
experiments,15,25,-7.340756345,,,,,,,,,,
experiments,15,30,-7.976350754,,,,,,,,,,
experiments,15,45,-6.67624185,,,,,,,,,,
experiments,15,25,-7.297646999,,,,,,,,,,
experiments,15,30,-6.969847827,,,,,,,,,,
experiments,15,45,-6.427181488,,,,,,,,,,
experiments,25,25,-6.324519146,,,,,,,,,,
experiments,25,30,-6.128755964,,,,,,,,,,
experiments,25,45,-5.295883365,,,,,,,,,,
experiments,25,25,-6.328635712,,,,,,,,,,
experiments,25,30,-6.193191568,,,,,,,,,,
experiments,25,45,-5.423903778,,,,,,,,,,
experiments,25,25,-6.382511093,,,,,,,,,,
experiments,25,30,-6.034918612,,,,,,,,,,
experiments,25,45,-5.188691067,,,,,,,,,,
experiments,35,25,-5.543879095,,,,,,,,,,
experiments,35,30,-5.316167071,,,,,,,,,,
experiments,35,45,-5.082926338,,,,,,,,,,
experiments,35,25,-5.604359842,,,,,,,,,,
experiments,35,30,-5.135838759,,,,,,,,,,
experiments,35,45,-4.846155274,,,,,,,,,,
experiments,35,25,-5.82315784,,,,,,,,,,
experiments,35,30,-5.54137595,,,,,,,,,,
experiments,35,45,-5.115574543,,,,,,,,,,
experiments,45,25,-5.737898751,,,,,,,,,,
experiments,45,35,-5.364027687,,,,,,,,,,
experiments,45,45,-5.114904853,,,,,,,,,,
experiments,45,25,-5.68893612,,,,,,,,,,
experiments,45,35,-5.499229499,,,,,,,,,,
experiments,45,25,-5.63170945,,,,,,,,,,
experiments,45,35,-5.396751532,,,,,,,,,,
experiments,55,25,-5.65163471,,,,,,,,,,
experiments,55,35,-5.449457882,,,,,,,,,,
experiments,55,25,-5.762722334,,,,,,,,,,
experiments,55,35,-5.423903778,,,,,,,,,,
experiments,55,25,-5.848636963,,,,,,,,,,
experiments,55,35,-5.63170945,,,,,,,,,,
experiments,65,25,-6.158849002,,,,,,,,,,
experiments,65,35,-5.91185588,,,,,,,,,,
experiments,65,25,-6.091498218,,,,,,,,,,
experiments,65,35,-5.724933774,,,,,,,,,,
experiments,65,25,-5.935787139,,,,,,,,,,
experiments,65,35,-5.538858294,,,,,,,,,,
